date,ticker,company_news_avg,company_news_count,company_news_std,related_companies_news_avg,related_news_count,related_news_std,total_news_count
2021-01-01,AMZN,0.6,1,0.0,0.3325,4,0.26550266790875504,5
2021-01-01,BRKB,,0,,0.48,1,0.0,1
2021-01-01,GE,,0,,0.32,2,0.19798989873223333,2
2021-01-01,STZ,,0,,,0,,0
2021-01-01,MRK,-0.345,2,0.17677669529663687,,0,,2
2021-01-01,MSFT,-0.5359999999999999,25,0.22000000000000006,0.52,2,0.0,27
2021-01-01,SBUX,,0,,0.386,5,0.2591910492281707,5
2021-01-01,GOOGL,,0,,-0.4577777777777778,27,0.3522819383711917,27
2021-01-01,GS,,0,,0.48,1,0.0,1
2021-01-01,JPM,0.48,1,0.0,,0,,1
2021-01-01,WMT,0.495,2,0.21920310216782973,0.3133333333333333,3,0.3008875759039135,5
2021-01-01,LOW,,0,,0.386,5,0.2591910492281707,5
2021-01-01,MCD,,0,,0.386,5,0.2591910492281707,5
2021-01-01,BAC,,0,,0.48,1,0.0,1
2021-01-01,HD,0.17,2,0.2404163056034262,0.5299999999999999,3,0.16643316977093237,5
2021-01-01,AAPL,0.52,2,0.0,-0.5359999999999999,25,0.22000000000000006,27
2021-01-01,NVDA,,0,,-0.4577777777777778,27,0.3522819383711917,27
2021-01-01,XOM,,0,,,0,,0
2021-01-01,LLY,,0,,-0.345,2,0.17677669529663687,2
2021-01-01,HON,0.32,2,0.19798989873223333,,0,,2
2021-01-02,PEP,,0,,,0,,0
2021-01-02,AMZN,0.6,2,0.0,0.34,2,0.0,4
2021-01-02,OKE,,0,,,0,,0
2021-01-02,CSCO,-0.51,1,0.0,0.07071428571428573,14,0.528138447549712,15
2021-01-02,SLB,,0,,,0,,0
2021-01-02,BRKB,0.62,2,0.0,0.32,3,0.27712812921102037,5
2021-01-02,STZ,,0,,,0,,0
2021-01-02,MRK,,0,,0.58,1,0.0,1
2021-01-02,UNH,,0,,0.44000000000000006,5,0.25573423705088844,5
2021-01-02,MSFT,0.14,6,0.5585696017507576,-0.039999999999999994,9,0.5320009398487939,15
2021-01-02,SBUX,,0,,0.47000000000000003,4,0.15011106998930268,4
2021-01-02,GOOGL,-0.52,2,0.0,0.11692307692307694,13,0.5194289270500924,15
2021-01-02,GS,,0,,0.44000000000000006,5,0.25573423705088844,5
2021-01-02,JPM,0.32,3,0.27712812921102037,0.62,2,0.0,5
2021-01-02,WMT,,0,,0.47000000000000003,4,0.15011106998930268,4
2021-01-02,LOW,,0,,0.47000000000000003,4,0.15011106998930268,4
