date,ticker,company_news_avg,company_news_count,company_news_std,related_companies_news_avg,related_news_count,related_news_std,total_news_count
2010-01-01,AMZN,,0,,-0.48,1,0.0,1
2010-01-01,CSCO,,0,,-0.48,2,0.0,2
2010-01-01,BRKB,,0,,,0,,0
2010-01-01,GE,,0,,-0.48,1,0.0,1
2010-01-01,MSFT,-0.48,1,0.0,-0.48,1,0.0,2
2010-01-01,SBUX,,0,,-0.48,1,0.0,1
2010-01-01,DE,-0.48,1,0.0,,0,,1
2010-01-01,GOOGL,,0,,-0.48,2,0.0,2
2010-01-01,GS,,0,,,0,,0
2010-01-01,JPM,,0,,,0,,0
2010-01-01,WMT,-0.48,1,0.0,,0,,1
2010-01-01,AMGN,,0,,,0,,0
2010-01-01,MCD,,0,,-0.48,1,0.0,1
2010-01-01,BAC,,0,,,0,,0
2010-01-01,AAPL,,0,,-0.48,2,0.0,2
2010-01-01,DUK,,0,,,0,,0
2010-01-01,NVDA,-0.48,1,0.0,-0.48,1,0.0,2
2010-01-01,XOM,-0.11,1,0.0,,0,,1
2010-01-02,PEP,,0,,,0,,0
2010-01-02,AMZN,,0,,,0,,0
2010-01-02,CSCO,,0,,0.1677777777777778,9,0.5295700562196134,9
2010-01-02,BRKB,,0,,0.23,1,0.0,1
2010-01-02,STZ,,0,,,0,,0
2010-01-02,MSFT,0.6000000000000001,2,0.07071067811865474,0.04428571428571431,7,0.541321135213259,9
2010-01-02,SBUX,,0,,,0,,0
2010-01-02,GOOGL,0.07200000000000002,5,0.5363487671282559,0.2875000000000001,4,0.5743619648502734,9
2010-01-02,GS,,0,,0.23,1,0.0,1
2010-01-02,JPM,0.23,1,0.0,,0,,1
2010-01-02,WMT,,0,,,0,,0
2010-01-02,AMGN,,0,,,0,,0
2010-01-02,IBM,,0,,0.1677777777777778,9,0.5295700562196134,9
2010-01-02,BAC,,0,,0.23,1,0.0,1
2010-01-02,AAPL,-0.024999999999999967,2,0.7707463914933367,0.2228571428571429,7,0.5089110690390574,9
2010-01-02,XOM,0.255,2,0.5161879502661797,,0,,2
2010-01-03,PEP,,0,,0.55,1,0.0,1
2010-01-03,OKE,,0,,,0,,0
2010-01-03,SLB,,0,,,0,,0
2010-01-03,ISRG,,0,,,0,,0
2010-01-03,PG,,0,,,0,,0
2010-01-03,UNH,,0,,,0,,0
2010-01-03,MSFT,,0,,,0,,0
2010-01-03,EQT,,0,,,0,,0
2010-01-03,GOOGL,,0,,,0,,0
2010-01-03,GS,,0,,,0,,0
2010-01-03,JPM,,0,,,0,,0
2010-01-03,WMT,0.58,1,0.0,,0,,1
2010-01-03,MDLZ,0.55,1,0.0,,0,,1
2010-01-03,BAC,,0,,,0,,0
2010-01-03,AAPL,,0,,,0,,0
2010-01-03,NVDA,,0,,,0,,0
2010-01-03,XOM,,0,,,0,,0
2010-01-04,PEP,0.5,2,0.0,0.17956521739130435,23,0.48712960997766924,25
2010-01-04,AMZN,0.6519999999999999,5,0.04381780460041326,0.12846153846153843,13,0.5389162914876198,18
2010-01-04,OKE,,0,,-0.745,2,0.3323401871576773,2
2010-01-04,LRCX,,0,,0.10863636363636363,22,0.43701689467773003,22
2010-01-04,SO,,0,,-0.745,2,0.3323401871576773,2
2010-01-04,CSCO,0.4566666666666666,9,0.07,0.03615384615384616,52,0.5736165072902779,61
