date,ticker,company_news_avg,company_news_count,company_news_std,related_companies_news_avg,related_news_count,related_news_std,total_news_count
2017-01-01,PEP,,0,,,0,,0
2017-01-01,AMZN,,0,,,0,,0
2017-01-01,CSCO,,0,,0.54,2,0.14142135623730953,2
2017-01-01,MSFT,,0,,0.54,2,0.14142135623730953,2
2017-01-01,SBUX,,0,,,0,,0
2017-01-01,DE,,0,,,0,,0
2017-01-01,GOOGL,,0,,0.54,2,0.14142135623730953,2
2017-01-01,GS,,0,,0.47,1,0.0,1
2017-01-01,JPM,,0,,0.47,1,0.0,1
2017-01-01,WMT,,0,,,0,,0
2017-01-01,IBM,,0,,0.54,2,0.14142135623730953,2
2017-01-01,BAC,0.47,1,0.0,,0,,1
2017-01-01,JNJ,0.45,1,0.0,,0,,1
2017-01-01,AAPL,0.54,2,0.14142135623730953,,0,,2
2017-01-02,PEP,,0,,0.45,1,0.0,1
2017-01-02,AMZN,,0,,-0.0050000000000000044,2,0.6010407640085653,2
2017-01-02,OKE,0.0,1,0.0,0.45,1,0.0,2
2017-01-02,LRCX,0.0,1,0.0,0.3236363636363636,11,0.21369476957907638,12
2017-01-02,CSCO,,0,,0.516,5,0.07503332592921629,5
2017-01-02,BRKB,0.0,1,0.0,0.3614285714285715,7,0.267670728783741,8
2017-01-02,ISRG,0.45,1,0.0,,0,,1
2017-01-02,GE,0.42333333333333334,6,0.05163977794943222,0.17,6,0.2633628675421043,12
2017-01-02,STZ,0.45,1,0.0,,0,,1
2017-01-02,MRK,,0,,0.45,1,0.0,1
2017-01-02,UNH,,0,,0.31625000000000003,8,0.2788208590270309,8
2017-01-02,MSFT,,0,,0.516,5,0.07503332592921629,5
2017-01-02,SBUX,,0,,-0.0050000000000000044,2,0.6010407640085653,2
2017-01-02,TJX,-0.43,1,0.0,0.42,1,0.0,2
2017-01-02,DE,0.0,1,0.0,0.3236363636363636,11,0.21369476957907638,12
2017-01-02,GOOGL,0.49,2,0.0,0.5333333333333333,3,0.10066445913694333,5
2017-01-02,GS,0.39,2,0.0,0.2916666666666667,6,0.32547913399581646,8
