date,ticker,company_news_avg,company_news_count,company_news_std,related_companies_news_avg,related_news_count,related_news_std,total_news_count
2012-01-01,OKE,,0,,,0,,0
2012-01-01,PG,,0,,,0,,0
2012-01-01,MSFT,,0,,,0,,0
2012-01-01,AEP,,0,,,0,,0
2012-01-01,MCD,,0,,,0,,0
2012-01-01,AAPL,,0,,,0,,0
2012-01-01,XOM,0.07200000000000002,5,0.5044997522298699,,0,,5
2012-01-02,PEP,,0,,0.07999999999999999,2,0.7212489168102785,2
2012-01-02,AMZN,,0,,0.0,1,0.0,1
2012-01-02,LRCX,0.42,1,0.0,0.395,2,0.07778174593052022,3
2012-01-02,CSCO,,0,,0.23000000000000004,4,0.4436965930302673,4
2012-01-02,SLB,,0,,0.42000000000000004,5,0.0273861278752583,5
2012-01-02,BRKB,-0.46,1,0.0,0.17625000000000002,8,0.27609198777633104,9
2012-01-02,GE,0.34,1,0.0,0.435,2,0.021213203435596444,3
2012-01-02,STZ,,0,,0.07999999999999999,2,0.7212489168102785,2
2012-01-02,MRK,,0,,,0,,0
2012-01-02,MSFT,,0,,0.23000000000000004,4,0.4436965930302673,4
2012-01-02,MO,0.59,1,0.0,-0.43,1,0.0,2
2012-01-02,SBUX,,0,,0.0,1,0.0,1
2012-01-02,DE,,0,,0.4033333333333333,3,0.056862407030773256,3
2012-01-02,IFF,,0,,,0,,0
2012-01-02,GOOGL,0.38,1,0.0,0.18000000000000002,3,0.529433659677962,4
2012-01-02,GS,0.0,2,0.0,0.1357142857142857,7,0.3796426891546464,9
2012-01-02,ORCL,0.45,1,0.0,0.15666666666666668,3,0.512867754234299,4
2012-01-02,JPM,0.26,3,0.22516660498395408,0.028333333333333332,6,0.3700495462322129,9
2012-01-02,WMT,,0,,0.0,1,0.0,1
2012-01-02,LOW,0.0,1,0.0,,0,,1
2012-01-02,AMGN,,0,,,0,,0
2012-01-02,MDLZ,,0,,0.07999999999999999,2,0.7212489168102785,2
2012-01-02,IBM,,0,,0.23000000000000004,4,0.4436965930302673,4
2012-01-02,MCD,,0,,0.0,1,0.0,1
2012-01-02,BAC,0.21,3,0.41569219381653055,0.05333333333333334,6,0.3158269568397648,9
2012-01-02,JNJ,,0,,,0,,0
2012-01-02,HD,,0,,0.0,1,0.0,1
2012-01-02,CTAS,-0.43,1,0.0,0.59,1,0.0,2
2012-01-02,MNST,,0,,0.07999999999999999,2,0.7212489168102785,2
2012-01-02,AAPL,0.52,1,0.0,0.13333333333333336,3,0.48911484677254824,4
2012-01-02,WFC,,0,,0.10555555555555556,9,0.3341822523381183,9
2012-01-02,DUK,-0.43,1,0.0,,0,,1
2012-01-02,NVDA,-0.43,1,0.0,0.45,3,0.07,4
2012-01-02,WMB,,0,,-0.43,1,0.0,1
2012-01-02,XOM,0.42000000000000004,5,0.0273861278752583,,0,,5
2012-01-02,LLY,,0,,,0,,0
2012-01-02,HON,0.45,1,0.0,0.38,2,0.056568542494923775,3
2012-01-03,PEP,-0.55,5,0.022360679774997918,-0.0861111111111111,18,0.23627349279742071,23
2012-01-03,AMZN,0.305,6,0.2427962108435797,-0.0409090909090909,11,0.4783608375578951,17
2012-01-03,OKE,,0,,0.025000000000000005,14,0.42944955824511344,14
2012-01-03,LRCX,,0,,0.35333333333333333,6,0.4344038059992876,6
2012-01-03,SO,0.0,2,0.0,0.029166666666666674,12,0.4667188823601581,14
2012-01-03,CSCO,0.2733333333333334,12,0.3770298597611536,0.1421621621621621,37,0.46939165792387977,49
2012-01-03,SLB,-0.51,1,0.0,0.4010000000000001,10,0.3238123599315573,11
2012-01-03,BRKB,0.295,4,0.504413851250472,-0.11633333333333332,180,0.36148962447538097,184
2012-01-03,ISRG,0.49,4,0.0,-0.16428571428571428,14,0.3502244178482461,18
2012-01-03,GE,0.35333333333333333,6,0.4344038059992876,,0,,6
2012-01-03,STZ,,0,,-0.18695652173913047,23,0.2854889710114385,23
2012-01-03,MRK,-0.47,2,0.05656854249492382,0.03749999999999999,16,0.4054051471470649,18
2012-01-03,UNH,-0.51,1,0.0,-0.1051912568306011,183,0.3680447917228904,184
2012-01-03,MSFT,0.20888888888888887,9,0.4276518573689481,0.1665,40,0.4578408076266304,49
2012-01-03,MO,-0.12933333333333338,15,0.10905219370732966,-0.29500000000000004,8,0.46034148815231263,23
2012-01-03,SBUX,0.45999999999999996,3,0.034641016151377546,0.0,14,0.440489238495981,17
2012-01-03,TJX,,0,,0.08117647058823531,17,0.43643273182904685,17
2012-01-03,AXP,,0,,-0.1073913043478261,184,0.36824905318259016,184
2012-01-03,DE,,0,,0.35333333333333333,6,0.4344038059992876,6
2012-01-03,IFF,,0,,,0,,0
2012-01-03,GOOGL,0.2925,4,0.3389567327354137,0.16377777777777777,45,0.45840280465233996,49
2012-01-03,GS,-0.4568421052631579,57,0.4174333047443321,0.0494488188976378,127,0.1986754036374374,184
2012-01-03,JPM,0.04067307692307693,104,0.14485523019453758,-0.299875,80,0.4694583297990585,184
2012-01-03,WMT,-0.36000000000000004,3,0.3132091952673165,0.17571428571428577,14,0.40595024867045515,17
2012-01-03,LOW,-0.51,1,0.0,0.11812500000000002,16,0.4223934776958565,17
2012-01-03,AMGN,-0.12,3,0.536935750346352,0.0013333333333333346,15,0.4064632590436446,18
2012-01-03,MDLZ,0.13,3,0.5542562584220407,-0.23450000000000007,20,0.20927129206895662,23
2012-01-03,IBM,0.34833333333333333,6,0.4268684418725126,0.15,43,0.45074541436539156,49
2012-01-03,MCD,-0.51,1,0.0,0.11812500000000002,16,0.4223934776958565,17
2012-01-03,BAC,0.07666666666666666,18,0.29439868925539414,-0.12734939759036146,166,0.3706409986883882,184
2012-01-03,JNJ,-0.008571428571428572,7,0.27751447838677845,-0.02545454545454544,11,0.49629353484331495,18
2012-01-03,HD,0.09000000000000001,3,0.5196152422706632,0.0792857142857143,14,0.4391681697467171,17
2012-01-03,CTAS,,0,,-0.18695652173913047,23,0.2854889710114385,23
2012-01-03,MNST,,0,,-0.18695652173913047,23,0.2854889710114385,23
2012-01-03,AAPL,0.006666666666666666,18,0.5143242282497549,0.27161290322580645,31,0.38100828314874857,49
2012-01-03,DUK,-0.51,2,0.0,0.11416666666666665,12,0.39654091462256075,14
2012-01-03,NVDA,,0,,0.17428571428571427,49,0.44840922529909366,49
2012-01-03,WMB,0.137,10,0.4344102004122627,-0.255,4,0.2944486372867091,14
2012-01-03,XOM,0.4010000000000001,10,0.3238123599315573,-0.51,1,0.0,11
2012-01-03,LLY,-0.47,2,0.05656854249492382,0.037500000000000006,16,0.4054051471470649,18
2012-01-03,HON,,0,,0.35333333333333333,6,0.4344038059992876,6
2012-01-04,PEP,-0.51,1,0.0,0.10499999999999998,6,0.5284978713296771,7
2012-01-04,AMZN,0.22333333333333338,3,0.5658032638058332,0.31653061224489804,49,0.3564205791641396,52
2012-01-04,OKE,0.0,1,0.0,-0.11888888888888889,9,0.41013547897141395,10
2012-01-04,LRCX,-0.28,4,0.32331615074619047,0.06555555555555556,9,0.37527027297372995,13
2012-01-04,SO,0.0,2,0.0,-0.13375,8,0.4358550709320047,10
2012-01-04,CSCO,0.5,1,0.0,0.331566265060241,83,0.3181174883734794,84
2012-01-04,SLB,-0.51,1,0.0,-0.43,1,0.0,2
2012-01-04,BRKB,-0.12,3,0.536935750346352,0.03433179723502305,217,0.2557987500204658,220
2012-01-04,ISRG,0.15,3,0.2598076211353316,-0.0014285714285714299,7,0.29157209351082575,10
2012-01-04,GE,0.011666666666666667,6,0.2946466810718673,-0.08571428571428573,7,0.46657822291148365,13
2012-01-04,STZ,-0.51,1,0.0,0.10499999999999998,6,0.5284978713296771,7
2012-01-04,MRK,-0.17,3,0.2944486372867091,0.1357142857142857,7,0.23222526010012656,10
2012-01-04,UNH,-0.51,1,0.0,0.03470319634703197,219,0.2577714629275868,220
2012-01-04,MSFT,0.15562499999999999,16,0.37737635944328396,0.3754411764705882,68,0.2881823315014993,84
2012-01-04,MO,-0.51,1,0.0,0.10499999999999998,6,0.5284978713296771,7
2012-01-04,SBUX,0.45857142857142863,7,0.0037796447300922757,0.2882222222222222,45,0.38690666532998325,52
2012-01-04,TJX,0.3450000000000001,14,0.3846826864192997,0.2986842105263158,38,0.3608111810803584,52
2012-01-04,DE,0.5,2,0.0,-0.1390909090909091,11,0.32858650445368404,13
2012-01-04,IFF,0.45,1,0.0,-0.5713333333333334,15,0.033565855667130925,16
2012-01-04,GOOGL,0.4125,16,0.35742598301373296,0.315,68,0.3063238945270331,84
2012-01-04,GS,0.04428571428571428,49,0.4352106769523622,0.028771929824561403,171,0.18278631216071045,220
2012-01-04,JPM,0.01604651162790698,129,0.0955855196657289,0.05516483516483516,91,0.3877208693473599,220
2012-01-04,WMT,-0.017777777777777788,9,0.30458076834305287,0.38,43,0.3395655487601207,52
2012-01-04,LOW,0.034999999999999976,2,0.7707463914933367,0.3222,50,0.3502144532501566,52
2012-01-04,AMGN,0.0,3,0.0,0.06285714285714286,7,0.33787148867156996,10
2012-01-04,CHD,-0.5713333333333334,15,0.033565855667130925,0.45,1,0.0,16
2012-01-04,MDLZ,0.5,1,0.0,-0.06333333333333334,6,0.5382812152273816,7
2012-01-04,IBM,0.5625,8,0.08631338250816033,0.3094736842105263,76,0.3227130603155776,84
2012-01-04,MCD,0.5013333333333334,15,0.1390717526349344,0.2340540540540541,37,0.39893232132405243,52
2012-01-04,BAC,0.09789473684210528,38,0.3020037398617266,0.018516483516483523,182,0.24884150861919205,220
2012-01-04,JNJ,,0,,0.044,10,0.2775367843487898,10
2012-01-04,HD,0.020000000000000018,2,0.7495331880577404,0.32280000000000003,50,0.3506381354627821,52
2012-01-04,CTAS,0.35,2,0.49497474683058323,-0.11600000000000002,5,0.5397962578603153,7
2012-01-04,MNST,0.45,1,0.0,-0.055000000000000014,6,0.5481149514472307,7
2012-01-04,AAPL,0.32395348837209303,43,0.27448774397900605,0.3436585365853658,41,0.35894815849618855,84
2012-01-04,DUK,-0.202,5,0.44896547751469706,-0.012,5,0.3398087697514589,10
2012-01-04,NVDA,,0,,0.3335714285714286,84,0.3167289246405492,84
2012-01-04,WMB,-0.03,2,0.6788225099390857,-0.12625,8,0.3551232180525514,10
2012-01-04,XOM,-0.43,1,0.0,-0.51,1,0.0,2
2012-01-04,LLY,0.5,1,0.0,-0.006666666666666666,9,0.2403643068344383,10
2012-01-04,HON,-0.48,1,0.0,-0.00416666666666667,12,0.37681580581917146,13
2012-01-05,PEP,-0.4481818181818182,11,0.3057717508802336,0.10726190476190481,84,0.40662096020527017,95
2012-01-05,AMZN,-0.15818181818181817,11,0.4894653855344253,0.2686585365853658,82,0.2851543320280707,93
2012-01-05,PPG,-0.08500000000000002,4,0.6524058041842771,0.49058823529411766,17,0.44496447313571125,21
2012-01-05,OKE,0.49,3,0.0,-0.17,3,0.2944486372867091,6
2012-01-05,LRCX,0.94,1,0.0,0.15354166666666666,48,0.2835601147067095,49
2012-01-05,SO,0.0,2,0.0,0.24,4,0.5,6
2012-01-05,CSCO,-0.010000000000000009,4,0.5773502691896257,0.307378640776699,103,0.3497953495947801,107
2012-01-05,SLB,0.14,2,0.3535533905932738,0.1657142857142857,7,0.4739148004602073,9
2012-01-05,BRKB,-0.51,1,0.0,0.04313432835820896,201,0.20641857199794703,202
2012-01-05,ISRG,0.95,1,0.0,-0.1027007299270073,137,0.38422478035350427,138
2012-01-05,GE,0.11,31,0.29200456617434367,0.27222222222222225,18,0.299736267517562,49
2012-01-05,PG,,0,,0.38095238095238104,21,0.5252418943868127,21
2012-01-05,STZ,0.023278688524590172,61,0.4299330231228867,0.07823529411764707,34,0.443897821905374,95
2012-01-05,MRK,0.1433333333333333,3,0.5658032638058332,-0.10037037037037035,135,0.3898246973165266,138
2012-01-05,UNH,0.5,1,0.0,0.03810945273631841,201,0.20753170350623298,202
2012-01-05,MSFT,0.3089655172413794,29,0.3581035846510078,0.2905128205128205,78,0.36521439153126445,107
2012-01-05,MO,0.0,1,0.0,0.043404255319148946,94,0.43573088565407025,95
2012-01-05,SBUX,,0,,0.21817204301075263,93,0.34181722244166873,93
2012-01-05,TJX,0.2725,76,0.2658928355559811,-0.024705882352941213,17,0.5135430562165506,93
2012-01-05,DE,0.17066666666666666,15,0.17641131590958778,0.16911764705882354,34,0.3459406819625586,49
2012-01-05,IFF,0.0,1,0.0,0.4000000000000001,20,0.5313934016982343,21
2012-01-05,GOOGL,0.29374999999999996,32,0.40520604077909667,0.2962666666666667,75,0.3444179317511092,107
2012-01-05,GS,-0.058837209302325576,43,0.20420821892798746,0.06723270440251575,159,0.20340118102567625,202
2012-01-05,JPM,0.017628865979381445,97,0.19247712632433917,0.06142857142857144,105,0.22302306094726104,202
2012-01-05,WMT,0.44333333333333336,3,0.47920072342738934,0.21066666666666664,90,0.337418487867894,93
2012-01-05,LOW,0.5,1,0.0,0.21510869565217386,92,0.3424042163818696,93
2012-01-05,AMGN,,0,,-0.09507246376811594,138,0.3931683883172549,138
2012-01-05,CHD,0.52125,16,0.4406188829362627,-0.06800000000000002,5,0.5662773172218715,21
2012-01-05,MDLZ,0.345,22,0.21241805142555228,-0.04808219178082192,73,0.4425201110754634,95
2012-01-05,IBM,0.385,4,0.2734349404642111,0.2920388349514563,103,0.36529160852854875,107
2012-01-05,MCD,0.0,1,0.0,0.2205434782608695,92,0.34292011734524475,93
2012-01-05,BAC,0.14983333333333337,60,0.17523341979322715,-0.00584507042253521,142,0.20615095673157213,202
2012-01-05,JNJ,-0.03799999999999998,10,0.5496423079300452,-0.09953125000000002,128,0.380877270362436,138
2012-01-05,HD,-0.51,1,0.0,0.2260869565217391,92,0.33501174826616115,93
2012-01-05,CTAS,,0,,0.042947368421052644,95,0.43342984826919895,95
2012-01-05,MNST,,0,,0.042947368421052644,95,0.43342984826919895,95
2012-01-05,AAPL,0.30947368421052635,38,0.3095414862683109,0.28782608695652173,69,0.38941082783979525,107
2012-01-05,DUK,,0,,0.16,6,0.40664480815571713,6
2012-01-05,NVDA,,0,,0.2955140186915888,107,0.3617077775097686,107
2012-01-05,WMB,-0.51,1,0.0,0.294,5,0.2683840531775314,6
2012-01-05,XOM,0.1657142857142857,7,0.4739148004602073,0.14,2,0.3535533905932738,9
2012-01-05,LLY,-0.11387096774193547,124,0.3660305857703439,0.07142857142857147,14,0.572872077851956,138
2012-01-05,HON,0.7,2,0.35355339059327373,0.1470212765957447,47,0.2825883078108122,49
2012-01-06,PEP,-0.33,5,0.5403239768879408,-0.17318181818181816,22,0.3498759829756873,27
2012-01-06,AMZN,0.34058823529411764,17,0.13654077176045687,-0.003333333333333336,9,0.4654299087940095,26
2012-01-06,OKE,-0.43,1,0.0,0.10230769230769231,13,0.35487448124075843,14
2012-01-06,LRCX,,0,,0.0075,8,0.37201190457142247,8
2012-01-06,SO,0.17333333333333334,3,0.3002221399786054,0.034545454545454546,11,0.393531793794698,14
2012-01-06,CSCO,0.475,2,0.03535533905932737,0.4432,25,0.2535205448610953,27
2012-01-06,SLB,0.45,2,0.0,-0.14,2,0.5232590180780452,4
2012-01-06,BRKB,-0.51,1,0.0,-0.10991525423728811,118,0.24828469929109923,119
2012-01-06,ISRG,,0,,-0.13153846153846158,13,0.5103405097554337,13
2012-01-06,GE,0.0075,8,0.37201190457142247,,0,,8
2012-01-06,STZ,0.056666666666666664,3,0.527288662246149,-0.23458333333333328,24,0.3645363841406216,27
2012-01-06,MRK,-0.51,1,0.0,-0.09999999999999998,12,0.5196327374388393,13
2012-01-06,UNH,-0.43,1,0.0,-0.11059322033898303,118,0.249273448083536,119
2012-01-06,MSFT,0.2475,4,0.2858175408659634,0.48000000000000004,23,0.22526751773270492,27
2012-01-06,MO,-0.5683333333333334,6,0.02857738033247039,-0.0976190476190476,21,0.3742045531778677,27
2012-01-06,SBUX,,0,,0.22153846153846152,26,0.3302931099213825,26
2012-01-06,TJX,-0.25333333333333335,3,0.41884762543594933,0.28347826086956524,23,0.2706659916786433,26
2012-01-06,DE,,0,,0.0075,8,0.37201190457142247,8
2012-01-06,IFF,,0,,,0,,0
2012-01-06,GOOGL,0.4242857142857144,7,0.338765264987284,0.453,20,0.21186142442147116,27
2012-01-06,GS,-0.14333333333333334,36,0.27910059630381095,-0.1002409638554217,83,0.23680276810971934,119
2012-01-06,JPM,-0.06142857142857143,63,0.22227458420478519,-0.17160714285714285,56,0.2679265624329601,119
2012-01-06,WMT,-0.51,1,0.0,0.2508,25,0.30074795649070224,26
2012-01-06,LOW,0.47,2,0.0,0.20083333333333334,24,0.33580424767060824,26
2012-01-06,AMGN,,0,,-0.13153846153846158,13,0.5103405097554337,13
2012-01-06,MDLZ,-0.0075,8,0.2569463534892616,-0.28421052631578947,19,0.404520508880901,27
2012-01-06,IBM,0.542,5,0.08497058314499198,0.42363636363636364,22,0.26364740982978896,27
2012-01-06,MCD,0.23,1,0.0,0.2212,25,0.3370993918712996,26
2012-01-06,BAC,-0.19499999999999998,18,0.24275986682558648,-0.0987128712871287,101,0.24955425609008008,119
2012-01-06,JNJ,-0.32799999999999996,5,0.4412708918566916,-0.008750000000000008,8,0.5388993412502933,13
2012-01-06,HD,0.035,2,0.6576093065034891,0.2370833333333333,24,0.3106441997536405,26
2012-01-06,CTAS,,0,,-0.2022222222222222,27,0.3842408432754457,27
2012-01-06,MNST,-0.10200000000000001,5,0.22807893370497856,-0.22499999999999998,22,0.4122499241964758,27
2012-01-06,AAPL,0.4942857142857143,7,0.2428893536062009,0.4285,20,0.24807203962177046,27
2012-01-06,DUK,-0.17,6,0.26336286754210436,0.24000000000000002,8,0.3487119154832539,14
2012-01-06,NVDA,0.475,2,0.03535533905932737,0.4432,25,0.2535205448610953,27
2012-01-06,WMB,0.4575,4,0.0805708797684788,-0.093,10,0.31429108942012485,14
2012-01-06,XOM,-0.14,2,0.5232590180780452,0.45,2,0.0,4
2012-01-06,LLY,0.06285714285714285,7,0.539404433479317,-0.35833333333333334,6,0.401617562696985,13
2012-01-06,HON,,0,,0.0075,8,0.37201190457142247,8
2012-01-07,AMZN,,0,,,0,,0
2012-01-07,CSCO,,0,,0.23785714285714285,14,0.3156721417846388,14
2012-01-07,SLB,,0,,0.62,2,0.0,2
2012-01-07,BRKB,,0,,0.47,1,0.0,1
2012-01-07,GE,,0,,,0,,0
2012-01-07,MRK,,0,,,0,,0
2012-01-07,MSFT,-0.11,1,0.0,0.2646153846153846,13,0.3115984431019991,14
2012-01-07,MO,,0,,,0,,0
2012-01-07,SBUX,,0,,,0,,0
2012-01-07,GOOGL,0.0,2,0.0,0.2775,12,0.32521671096502575,14
2012-01-07,GS,,0,,0.47,1,0.0,1
2012-01-07,JPM,,0,,0.47,1,0.0,1
2012-01-07,WMT,,0,,,0,,0
2012-01-07,MDLZ,,0,,,0,,0
