date,ticker,company_news_avg,company_news_count,company_news_std,related_companies_news_avg,related_news_count,related_news_std,total_news_count
2014-01-01,PEP,,0,,,0,,0
2014-01-01,AMZN,,0,,0.0,3,0.0,3
2014-01-01,LRCX,0.0,1,0.0,-0.48,2,0.0,3
2014-01-01,CSCO,,0,,0.0,1,0.0,1
2014-01-01,SLB,,0,,,0,,0
2014-01-01,BRKB,0.225,2,0.31819805153394637,,0,,2
2014-01-01,GE,,0,,-0.32,3,0.27712812921102037,3
2014-01-01,MRK,,0,,0.53,2,0.0,2
2014-01-01,MSFT,,0,,0.0,1,0.0,1
2014-01-01,MO,,0,,,0,,0
2014-01-01,SBUX,,0,,0.0,3,0.0,3
2014-01-01,DE,,0,,-0.32,3,0.27712812921102037,3
2014-01-01,IFF,,0,,,0,,0
2014-01-01,GOOGL,,0,,0.0,1,0.0,1
2014-01-01,GS,,0,,0.225,2,0.31819805153394637,2
2014-01-01,JPM,,0,,0.225,2,0.31819805153394637,2
2014-01-01,WMT,0.0,3,0.0,,0,,3
2014-01-01,LOW,,0,,0.0,3,0.0,3
2014-01-01,AMGN,0.53,2,0.0,,0,,2
2014-01-01,IBM,,0,,0.0,1,0.0,1
2014-01-01,MCD,,0,,0.0,3,0.0,3
2014-01-01,BAC,,0,,0.225,2,0.31819805153394637,2
2014-01-01,JNJ,,0,,0.53,2,0.0,2
2014-01-01,HD,,0,,0.0,3,0.0,3
2014-01-01,MNST,,0,,,0,,0
2014-01-01,AAPL,0.0,1,0.0,,0,,1
2014-01-01,DUK,,0,,,0,,0
2014-01-01,WMB,,0,,,0,,0
2014-01-01,XOM,,0,,,0,,0
2014-01-01,LLY,,0,,0.53,2,0.0,2
2014-01-01,HON,-0.48,2,0.0,0.0,1,0.0,3
2014-01-02,PEP,0.45,1,0.0,-0.51,2,0.0,3
2014-01-02,AMZN,,0,,-0.24000000000000002,18,0.5205992022773035,18
2014-01-02,OKE,,0,,-0.07749999999999999,4,0.4648566087157057,4
