date,ticker,company_news_avg,company_news_count,company_news_std,related_companies_news_avg,related_news_count,related_news_std,total_news_count
2008-01-01,AMZN,,0,,,0,,0
2008-01-01,CSCO,,0,,-0.13,2,0.49497474683058323,2
2008-01-01,SLB,,0,,-0.15500000000000003,4,0.40991869112463436,4
2008-01-01,BRKB,,0,,-0.02999999999999999,3,0.43577517139001853,3
2008-01-01,GE,0.36166666666666664,6,0.4433696726961223,0.5275,4,0.12473304828045108,10
2008-01-01,MRK,0.58,1,0.0,,0,,1
2008-01-01,UNH,-0.48,1,0.0,0.195,2,0.27577164466275356,3
2008-01-01,MSFT,0.22,1,0.0,-0.48,1,0.0,2
2008-01-01,TJX,,0,,,0,,0
2008-01-01,DE,0.635,2,0.021213203435596444,0.37625,8,0.37568746509375506,10
2008-01-01,GOOGL,-0.48,1,0.0,0.22,1,0.0,2
2008-01-01,GS,0.39,1,0.0,-0.24,2,0.33941125496954283,3
2008-01-01,JPM,0.0,1,0.0,-0.044999999999999984,2,0.6151828996322963,3
2008-01-01,WMT,,0,,,0,,0
2008-01-01,LOW,,0,,,0,,0
2008-01-01,AMGN,,0,,0.58,1,0.0,1
2008-01-01,IBM,,0,,-0.13,2,0.49497474683058323,2
2008-01-01,MCD,,0,,,0,,0
2008-01-01,BAC,,0,,-0.02999999999999999,3,0.43577517139001853,3
2008-01-01,HD,,0,,,0,,0
2008-01-01,AAPL,,0,,-0.13,2,0.49497474683058323,2
2008-01-01,DUK,,0,,,0,,0
2008-01-01,XOM,-0.15500000000000003,4,0.40991869112463436,,0,,4
2008-01-01,LLY,,0,,0.58,1,0.0,1
2008-01-01,HON,0.42,2,0.0,0.43,8,0.39558275276573207,10
2008-01-02,PEP,,0,,0.30142857142857143,7,0.36598855043241313,7
2008-01-02,AMZN,0.34565217391304354,23,0.24592730054662537,-0.17454545454545456,11,0.5157589288875887,34
2008-01-02,LRCX,-0.43,1,0.0,0.40285714285714286,14,0.3193606249856246,15
2008-01-02,CSCO,-0.14666666666666667,3,0.5614564393907451,0.2841176470588235,68,0.3938983704600686,71
2008-01-02,SLB,,0,,0.4063636363636364,11,0.14458718665723647,11
2008-01-02,BRKB,-0.07500000000000001,2,0.6151828996322963,2.828593693312501e-18,157,0.23106775563091378,159
2008-01-02,ISRG,,0,,0.33742857142857147,35,0.3619176284016837,35
2008-01-02,GE,0.43444444444444447,9,0.35958695440432453,0.21666666666666665,6,0.3919523780597161,15
2008-01-02,STZ,,0,,0.30142857142857143,7,0.36598855043241313,7
2008-01-02,MRK,0.01857142857142859,7,0.5334925357624845,0.41714285714285715,28,0.26219666273064945,35
2008-01-02,UNH,-0.4818181818181818,11,0.3256322521439847,0.034797297297297296,148,0.1830522381655237,159
2008-01-02,MSFT,0.3934285714285714,35,0.2799048457763381,0.14194444444444446,36,0.47125861534796637,71
2008-01-02,MO,-0.51,1,0.0,0.4366666666666666,6,0.08430104783848578,7
2008-01-02,SBUX,-0.5066666666666667,3,0.07505553499465133,0.2435483870967742,31,0.38529251560424216,34
2008-01-02,TJX,-0.51,1,0.0,0.1981818181818182,33,0.4152367889639487,34
2008-01-02,AXP,,0,,-0.000943396226415091,159,0.2349085263737274,159
2008-01-02,DE,0.5,1,0.0,0.3364285714285714,14,0.38713160439426686,15
2008-01-02,GOOGL,0.21750000000000003,4,0.5293628245353087,0.2688059701492537,67,0.40280276543564736,71
2008-01-02,GS,0.10857142857142858,21,0.29115778736426945,-0.01760869565217391,138,0.22169076360633352,159
2008-01-02,ORCL,,0,,0.26591549295774636,71,0.40636217999214425,71
2008-01-02,JPM,0.032400000000000005,100,0.1290064597865807,-0.057457627118644064,59,0.34168746165091385,159
2008-01-02,WMT,0.63,2,0.0,0.14906250000000001,32,0.42384080528637924,34
2008-01-02,LOW,0.5,1,0.0,0.1675757575757576,33,0.4292801409265742,34
2008-01-02,AMGN,0.4784615384615385,13,0.34549110345145295,0.2540909090909091,22,0.3525236782443751,35
2008-01-02,MDLZ,0.5,1,0.0,0.2683333333333333,6,0.3892771078122456,7
2008-01-02,IBM,0.2715789473684211,19,0.4081157673162895,0.26384615384615384,52,0.40969215533346476,71
2008-01-02,MCD,,0,,0.1773529411764706,34,0.4265528410445868,34
2008-01-02,BAC,-0.008799999999999997,25,0.20591907795701364,0.0005223880597014947,134,0.24060174301763998,159
